*;base;gen
default;;на {base}
cn__Alaq.m;Алак;
cn_al_Kamil.m;Ал-Камил;
cn_Aaron.m;Аарон;
cn_Abaji.m;Абаджи;
cn_Abane.m;Абане;
cn_Abaqa.m;Абака;
cn_Abas.m;Абас;
cn_Abatai.m;Абатаи;
cn_Abbad.m;Аббад;
cn_Abbas.m;Абас;
cn_Abdallah.m;Абдала;
cn_Abdelhafid.m;Абделхафид;
cn_Abdelkader.m;Абделкадер;
cn_Abdelkrim.m;Абделкрим;
cn_Abdelwahid.m;Абделуахид;
cn_Abderraouf.m;Абдерраоуф;
cn_Abdeslam.m;Абдеслам;
cn_Abdollah.m;Абдоллах;
cn_Abdul.m;Абдул;
cn_Abdul_Wahid.m;Абдулуахид;
cn_Abdullah.m;Абдуллах;
cn_Abel.m;Абел;
cn_Abelard.m;Абелард;
cn_Abgar.m;Абгар;
cn_Abigall.f;Абигалл;
cn_Abika.f;Абика;
cn_Abish.f;Абиш;
cn_Abjorn.m;Абйорн;
cn_Abomelique.m;Абомеликве;
cn_Abou.m;Абоу;
cn_Abraham.m;Авраам;
cn_Absalon.m;Абсалон;
cn_Absalone.m;Абсалоне;
cn_Abu.m;Абу;
cn_Abu_Ghufayl.m;Абугхуфаил;
cn_Abu_l_Qasim.m;Абул-Касим;
cn_Abubakri.m;Абубакри;
cn_Abul.m;Абул;
cn_Abul_Fath.m;Абулфат;
cn_Abulasan.m;Абуласан;
cn_Abusahl.m;Абусахл;
cn_Abusahl_Hamazasp.m;Абусахл-Хамазасп;
cn_Abuser.m;Абусер;
cn_Accelena.f;Аккелена;
cn_Ada.f;Ада;
cn_Adalasia.f;Адаласиа;
cn_Adalbero.m;Адалберо;
cn_Adalbert.m;Адалберт;
cn_Adam.m;Адам;
cn_Adame.m;Адаме;
cn_Adda.m;Адда;
cn_Adela.f;Адела;
cn_Adelaide.f;Аделаида;
cn_Adelard.m;Аделард;
cn_Adele.f;Аделе;
cn_Adelheid.f;Аделхеид;
cn_Adeline.f;Аделине;
cn_Adeliza.f;Аделиза;
cn_Adelman.m;Аделман;
cn_Ademar.m;Адемар;
cn_Adhamh.m;Адхамх;
cn_Adil.f;Адил;
cn_Adil.m;Адил;
cn_Adles.f;Адлес;
cn_Adolf.m;Аларич;
cn_Adolfadl.m;Адолфадл;
cn_Adolfo.m;Адолфо;
cn_Adrian.m;Адриан;
cn_Adriana.f;Адриана;
cn_Adrianos.m;Адрианос;
cn_Adrianus.m;Адрианус;
cn_Adulfo.m;Адулфо;
cn_Aed.m;Аед;
cn_Aedan.m;Аедан;
cn_Aeddan.m;Аеддан;
cn_Aedh.m;Аедх;
cn_Aelred.m;Аелред;
cn_Aemar.m;Аемар;
cn_Aenor.f;Аенор;
cn_Aernout.m;Аерноут;
cn_Aeshine.f;Аешине;
cn_Afanasy.m;Афанаси;
cn_Affreca.f;Аффрека;
cn_Affrica.f;Аффрика;
cn_Afiya.f;Афия;
cn_Afridun.m;Афридун;
cn_Afshin.m;Афшин;
cn_Agafia.f;Агафиа;
cn_Agata.f;Агата;
cn_Agatha.f;Агата;
cn_Agathe.f;Агате;
cn_Agbua.m;Агбуа;
cn_Aggeron.m;Аггерон;
cn_Aghbugha.m;Агхбугха;
cn_Aghsartan.m;Агхсартан;
cn_Agilwardus.m;Агилуардус;
cn_Agnes.f;Агнес;
cn_Agnes.m;Агнес;
cn_Agnessona.f;Агнессона;
cn_Agnise.f;Агнисе;
cn_Agostino.m;Агостино;
cn_Agosto.m;Агосто;
cn_Agrafena.f;Аграфена;
cn_Agron.m;Агрон;
cn_Agrypina.f;Агрипина;
cn_Ahalyz.f;Ахализ;
cn_Ahmad.m;Ахмад;
cn_Ahman.m;Ахман;
cn_Ahmed.m;Ахмед;
cn_Ahti.m;Ахти;
cn_Aibak.m;Аибак;
cn_Aicelina.f;Аикелина;
cn_Aigeline.f;Аигелине;
cn_Aigiarn.f;Аигиарн;
cn_Aigusta.f;Аигуста;
cn_Aikasarria.m;Аикасарриа;
cn_Ailbe.m;Аилбе;
cn_Ailean.m;Аилеан;
cn_Aimeric.m;Аимерик;
cn_Aimeriguet.m;Аимеригует;
cn_Aimers.m;Аимерс;
cn_Aimery.m;Аимери;
cn_Aimes.m;Аимес;
cn_Aindrias.m;Аиндриас;
cn_Aitone.m;Аитоне;
cn_Ajab.f;Аяб;
cn_Ajissa.m;Аджисса;
cn_Ajlan.m;Айлан;
cn_Ajuja.f;Аюя;
cn_Akhijuq.m;Акхиюк;
cn_Akhistan.m;Акхистан;
cn_Ako.m;Ако;
cn_Al_Adil.m;Ал-Адил;
cn_al_Amir.m;Ал-Амир;
cn_Al_Aziz.m;Ал-Азиз;
cn_Al_Bashir.m;Ал-Башир;
cn_Al_Bawwab.m;Ал-Баууаб;
cn_Al_Hasan.m;Ал-Хасан;
cn_Al_Kunduri.m;Ал-Кундури;
cn_Al_Mansur.m;Ал-Мансур;
cn_Al_Mu_min.m;Ал-Мумин;
cn_Al_Muizz.m;Ал-Муизз;
cn_Al_Mujahid.m;Ал-Муяхид;
cn_Al_Mustazhir.m;Ал-Мустазхир;
cn_Al_Mustrshid.m;Ал-Мустршид;
cn_Al_Nasir.m;Ал-Насир;
cn_Al_Rahman.m;Ал-Рахман;
cn_Al_Salil.m;Ал-Салил;
cn_Alaattin.m;Алааттин;
cn_Aladar.m;Аладар;
cn_Alaeddin.m;Алаеддин;
cn_Alain.m;Ален;
cn_Alais.f;Алаис;
cn_Alakhai.f;Алакхаи;
cn_Alaltun.f;Алалтун;
cn_Alam.f;Алам;
cn_Alamanda.f;Аламанда;
cn_Alamanno.m;Аламанно;
cn_Alan.m;Алан;
cn_Alandar.m;Аландар;
cn_Alane.m;Алане;
cn_Alani.m;Алани;
cn_Alaqush.m;Алаквш;
cn_Alard.m;Алард;
cn_Alardus.m;Алардус;
cn_Alas.m;Алас;
cn_Alasdair.m;Аласдаир;
cn_Alauddin.m;Алауддин;
cn_Alays.f;Алаис;
cn_Alazais.m;Алазаис;
cn_Albarics.m;Албарикс;
cn_Alberic.m;Алберик;
cn_Alberik.m;Алберик;
cn_Albert.m;Алберт;
cn_Alberto.m;Алберто;
cn_Alberts.m;Албертс;
cn_Albinus.m;Албинус;
cn_Albizzo.m;Албиззо;
cn_Albrecht.m;Албречт;
cn_Albreda.f;Албреда;
cn_Albrekt.m;Албрект;
cn_Alda.f;Алда;
cn_Aldimir.m;Алдимир;
cn_Aldona.f;Алдона;
cn_Aldona_Anna.f;Алдона-Анна;
cn_Aldonza.f;Алдонза;
cn_Aldonzo.m;Алдонзо;
cn_Alduin.m;Алдуин;
cn_Alek_sandre.m;Александре;
cn_Alekna.m;Алекна;
cn_Aleksa.m;Алекса;
cn_Aleksandar.m;Александър;
cn_Aleksandra.f;Александра;
cn_Aleksandras.m;Александрас;
cn_Aleksii.m;Алексии;
cn_Alesia.f;Алесиа;
cn_Alesonne.f;Алесонне;
cn_Alessandro.m;Алессандро;
cn_Alexandair.m;Александаир;
cn_Alexander.m;Александър;
cn_Alexandra.f;Александра;
cn_Alexandre.m;Александър;
cn_Alexandros.m;Александрос;
cn_Alexandru.m;Александру;
cn_Alexey.m;Алексеи;
cn_Alexios.m;Алексий;
cn_Alf.m;Алф;
cn_Alfans.m;Алфанс;
cn_Alfas.m;Алфас;
cn_Alfhild.f;Алфхилд;
cn_Alfonso.m;Алфонсо;
cn_Alfred.m;Алфред;
cn_Alghu.m;Алгху;
cn_Algirdas.m;Алгирдас;
cn_Algot.m;Алгот;
cn_Alguine.m;Алгуине;
cn_Algune.m;Алгуне;
cn_Ali.m;Али;
cn_Alianore.f;Алианоре;
cn_Alias.m;Алиас;
cn_Aliazars.m;Алиазарс;
cn_Alice.f;Алиса;
cn_Alicia.f;Аликиа;
cn_Aligerno.m;Алигерно;
cn_Alighiero.m;Алигхиеро;
cn_Alinakh.m;Алинакх;
cn_Alinaq.m;Алинак;
cn_Aline.f;Алине;
cn_Alison.f;Алисон;
cn_Alix.f;Аликс;
cn_Alketa.f;Алкета;
cn_Allune.f;Аллуне;
cn_Almanric.m;Алманрик;
cn_Almavis.m;Алмавис;
cn_Almeric.m;Алмерик;
cn_Almerico.m;Алмерико;
cn_Almish.m;Алмиш;
cn_Almodis.f;Алмодис;
cn_Almos.m;Алмос;
cn_Alnas.m;Алнас;
cn_Alonso.m;Алонсо;
cn_Alp.m;Алп;
cn_Alpfonse.m;Алпфонсе;
cn_Alphonse.m;Алфонс;
cn_Alqamah.m;Алкамах;
cn_Altani.f;Алтани;
cn_Aluar.m;Алуар;
cn_Alusian.m;Алусиан;
cn_Alvaro.m;Алваро;
cn_Alvito.m;Алвито;
cn_Alvydas.m;Алвидас;
cn_Alwin.m;Алуин;
cn_Alwina.f;Алуина;
cn_Alycie.f;Аликие;
cn_Alys.f;Алис;
cn_Am_aq.m;Амак;
cn_Amade.m;Амаде;
cn_Amadeo.m;Амадео;
cn_Amadeus.m;Амадеус;
cn_Amai.m;Амаи;
cn_Amal.f;Амал;
cn_Amaldrics.m;Амалдрикс;
cn_Amalie.f;Амалие;
cn_Amalric.m;Амалрик;
cn_Amand.m;Аманд;
cn_Amaneus.m;Аманеус;
cn_Amat.f;Амат;
cn_Amata.f;Амата;
cn_Amaury.m;Амаури;
cn_Ambaghai.m;Амбагхаи;
cn_Amblard.m;Амблард;
cn_Ambrogio.m;Амброгио;
cn_Amelia.f;Амелиа;
cn_Amentario.m;Аментарио;
cn_Amerigo.m;Америго;
cn_Amery.m;Амери;
cn_Amghar.m;Амгхар;
cn_Amina.f;Амина;
cn_Amir.m;Амир;
cn_Amirouche.m;Амироуче;
cn_Amis.m;Амис;
cn_Ammouri.m;Аммоури;
cn_Amor.m;Амор;
cn_Amos.m;Амос;
cn_Ampud.m;Ампуд;
cn_Amrus.m;Амрус;
cn_an_Nasir.m;Ан-Насир;
cn_Ana.f;Ана;
cn_Ana_Neda.f;Ана-Неда;
cn_Anabella.f;Анабелла;
cn_Anacletus.m;Анаклетус;
cn_Ananias.m;Ананиас;
cn_Anarawd.m;Анарауд;
cn_Anastasia.f;Анастасиа;
cn_Anastasius.m;Анастасиус;
cn_Anastasiya.f;Анастасия;
cn_Anbesa.m;Анбеса;
cn_Ancel.m;Анкел;
cn_Ancelmes.m;Анкелмес;
cn_Anders.m;Андерс;
cn_Andras.m;Андрас;
cn_Andre.m;Андре;
cn_Andrea.m;Андреа;
cn_Andreas.m;Андреас;
cn_Andrei.m;Андреи;
cn_Andreu.m;Андреу;
cn_Andreva.f;Андрева;
cn_Andrew.m;Андрей;
cn_Andrey.m;Андреи;
cn_Andrija.m;Андрия;
cn_Andrius.m;Андриус;
cn_Andronikos.m;Андроникос;
cn_Androu.m;Андроу;
cn_Andrzej.m;Андрзей;
cn_Anfos.m;Анфос;
cn_Angel.m;Ангел;
cn_Angela.f;Ангела;
cn_Angelo.m;Ангело;
cn_Angharad.f;Ангхарад;
cn_Angjelina.f;Ангйелина;
cn_Ani.f;Ани;
cn_Anka.f;Анка;
cn_Anna.f;Анна;
cn_Anna_Anisia.f;Анна-Анисиа;
cn_Anna_Teodora.f;Анна-Теодора;
cn_Annabel.f;Аннабел;
cn_Anne.f;Ан;
cn_Annecke.f;Аннекке;
cn_Annes.f;Аннес;
cn_Annesium.m;Аннесиум;
cn_Annesona.f;Аннесона;
cn_Anrothan.m;Анротан;
cn_Ansaldo.m;Ансалдо;
cn_Anselm.m;Анселм;
cn_Anselmus.m;Анселмус;
cn_Ansfrid.m;Ансфрид;
cn_Ansger.m;Ансгер;
cn_Ansuro.m;Ансуро;
cn_Anta.f;Анта;
cn_Antero.m;Антеро;
cn_Anthimos.m;Антимос;
cn_Anthony.m;Антоний;
cn_Antoine.m;Антоан;
cn_Anton.m;Антон;
cn_Antonia.f;Антониа;
cn_Antonije.m;Антонийе;
cn_Antonio.m;Антонио;
cn_Antonios.m;Антониос;
cn_Antonius.m;Антониус;
cn_Antony.m;Антони;
