*;base;defplural;nom;ourakk;ourdat;ourgen;akk
default;;{base}e;der {base};{base};{base};{base}s;den {base}
Nobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
NordicNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
TribalNobility.King;Върховен вожд;Върховни вождове;Върховният вожд;нашия Върховен вожд;на нашия Върховен вожд;на нашия Върховен вожд;Върховния вожд
AllNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
RussNobility.King;Велик княз;Велики князе;Великият княз;нашия Велик княз;на нашия Велик княз;на нашия Велик княз;Великия княз
SteppeNobility.King;Хан;Ханове;Ханът;нашия Хан;на нашия Хан;на нашия Хан;Хана
TurkNobility.King;Султан;Султани;Султанът;нашия Султан;на нашия Султан;на нашия Султан;Султана
GreekNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
ArabNobility.King;Малик;Малици;Маликът;нашия Малик;на нашия Малик;на нашия Малик;Малика
IranicNobility.King;Шах;Шахове;Шахът;нашия Шах;на нашия Шах;на нашия Шах;Шаха
SlavNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
ItalianNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
GenoeseNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
AfricanNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
BritNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
OrderNobility.King;Велик магистър;Велики магистри;Великият магистър;нашия Велик магистър;на нашия Велик магистър;на нашия Велик магистър;Великия магистър
BulgarianNobility.King;Цар;Царе;Царят;нашия Цар;на нашия Цар;на нашия Цар;Царя
SharifNobility.King;Шариф;Шарифи;Шарифът;нашия Шариф;на нашия Шариф;на нашия Шариф;Шарифа
BerberNobility.King;Емир;Емири;Емирът;нашия Емир;на нашия Емир;на нашия Емир;Емира
NormanNobility.King;Княз;Князе;Князът;нашия Княз;на нашия Княз;на нашия Княз;Княза
CaucasianNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
