"ID";"bg"
"TutorialHotspot.tooltip.text";""
"TutorialHotspot.tooltip.text:alt";"път: {ui.tooltip_obj_path:#}{p}деф. на гореща точка: [{ui.main_tooltip.tutorial_hotspot_def_id:#}|null]{p}деф. на подсказка: [{ui.main_tooltip.tooltip_def_id:#}|null]{p}обект: [{ui.main_tooltip.OBJ}|null]{p}променливи: [{p}{ui.tooltip_vars_dump}|null]"
"list_separator";","
"list_final_separator";" и "
"list_final_separator_or";" или "
"piety_icon";" вяра"
"Battle.caption.OpenField";"Битка близо до {realm}"
"Battle.caption.Plunder";"Грабеж в {realm}"
"Battle.caption.PlunderInterrupt";"Грабеж в {realm}"
"Battle.caption.Siege";"Обсада на {realm}"
"Battle.caption.Assault";"Щурм на {realm}"
"Battle.caption.BreakSiege";"Пробив на обсадата на {realm}"
"Battle.caption.Naval";"Морска битка в {realm}"
"Battle.caption.SiegeAlt";"Обсада близо до {realm}"
"Battle.caption.BreakSiegeAlt";"Пробив на обсадата близо до {realm}"
"Battle.caption.FreeLand";"Битка в свободни земи"
"Battle.squad_window_stats";"[{is_noble:if_not}{is_siege_eq:if_not}Ниво: {level}[{unit_is_militia:if} (Селяните не могат да повишават ниво от битка)]{p}]Жива сила: {health}/{max_health}[ ({size_bonus:bonus})]{p}[{is_siege_eq:if_not}Морал: {morale:F1}/{initial_morale}{p}][Издръжливост: {stamina}/{stamina_max}{p}]Скорост на придвижване: {move_speed}[ ({move_speed_bonus:bonus})]{p}{p}Близка атака: {CTH}[ ({CTH_bonus:bonus})]{p}[{is_cavalry:if}Шанс за премазване: {trample_chance}{p}][{is_ranged:if}{p}][{is_ranged:if}Дистанционна атака: {CTH_ranged}[ ({CTH_ranged_bonus:bonus})]{p}][{is_ranged:if}Обсег на атака: {max_shoot_range}{p}][{is_ranged:if}Интервал на стрелба: {shoot_interval}{p}][{is_ranged:if}Залпове: {salvos} / {def.salvo_capacity} [ ({salvo_capacity_bonus:bonus})]{p}]{p}Защита (ръкопашен бой): {defense}[ ({defense_bonus:bonus})]{p}Защита (дистанционна): {defense_against_ranged}[ ({defense_against_ranged_bonus:bonus})]{p}{p}Шанс за шок: {chance_to_shock_base}[ ({chance_to_shock_bonus:bonus})]{p}Устойчивост: [{resilience_base}|{resilience}|0][ ({resilience_bonus:bonus})]{p}{p}[Атака срещу кавалерия: {Unit.CTH_cavalry_mod_effect:bonus:nonzero:%}{p}]"
"Battle.victory_text";"Вражеските сили бяха победени"
"Battle.defeat_text";"Вашите сили бяха победени"
"Battle.cancel_text";"Битката беше отменена"
"SquadState.Idle";"Задържа позиция"
"SquadState.Attacking";"Атакува"
"SquadState.Moving";"Движи се към"
"SquadState.Charging";"Напада"
"SquadState.Shooting";"Стреля по"
"SquadState.Disengaging";"Оттегля се"
"SquadState.Retreating";"Отстъпва"
"SquadState.Fled";"Избягал"
"SquadState.Dead";"Мъртъв"
"Diplomacy.Greeting.Neutral";"Поздрави, {plr_kingdom.king}! Какво ви интересува?"
"Diplomacy.Greeting.Neutral#2";"Добре дошли, {plr_kingdom.king}! Какви въпроси искате да обсъдим?"
"Diplomacy.Greeting.Neutral#3";"Добър ден, {plr_kingdom.king}! За какво искате да говорим?"
"Diplomacy.Greeting.Neutral#4";"Изненадващо посещение, {plr_kingdom.king}! За какво искате да поговорим?"
"Diplomacy.Greeting.Neutral#5";"Поздрави, {plr_kingdom.king} на {plr_kingdom}! Добре е, че дойдохте. Имаме много за обсъждане."
"Diplomacy.Greeting.Strong";"Какво искате, {plr_kingdom.king}?"
"Diplomacy.Greeting.Strong#2";"Говорете бързо, {kingdom.king} е много зает днес."
"Diplomacy.Greeting.Strong#3";"С какво можете да ни заинтригувате, {plr_kingdom.king} на {plr_kingdom}?"
"Diplomacy.Greeting.Strong#4";"Казвайте каквото мислите, {plr_kingdom.king}. Слушаме ви."
"Diplomacy.Greeting.Strong#5";"Добре дошли, {plr_kingdom.king}. Какво ви води в {kingdom}?"
"Diplomacy.Greeting.Weak";"Поздрави, {plr_kingdom.king}! Какво можем да направим за вас?"
"Diplomacy.Greeting.Weak#2";"Добре дошли, {plr_kingdom.king}. Как можем да бъдем полезни?"
"Diplomacy.Greeting.Weak#3";"Благодарим за посещението, {plr_kingdom.king}. На какво дължим тази чест?"
"Diplomacy.Greeting.Weak#4";"Радваме се да ви приветстваме, {plr_kingdom.king}! Каква е целта на вашето посещение?"
"Diplomacy.Greeting.Weak#5";"Добре дошли, {plr_kingdom.king}! Какво ви води в {kingdom}?"
"Diplomacy.Greeting.OurPrisoner.Neutral";"Дано разговорът ни не остави лош вкус, като храната, която сервирате в този ужасен затвор."
"Diplomacy.Greeting.OurPrisoner.Neutral#2";"Ако ме освободите от тази гнила килия, сигурен съм, че можем да постигнем споразумение."
"Diplomacy.Greeting.OurPrisoner.Neutral#3";"Трябва ли да разговаряме в тази ужасно мръсна затворническа килия?"
"Diplomacy.Greeting.OurPrisoner.Strong";"Ако си мислите, че тези вериги на ръцете ми ви дават някакво предимство, жестоко грешите!"
"Diplomacy.Greeting.OurPrisoner.Strong#2";"Махнете мръсните си ръце от мен и може да обмисля това, което имате да кажете."
"Diplomacy.Greeting.OurPrisoner.Strong#3";"Ах, добре. Виждам, че сте дошли да ми дадете свободата."
"Diplomacy.Greeting.OurPrisoner.Weak";"Пощадете живота ми и ще бъдете възнаградени щедро, {plr_kingdom.king}!"
"Diplomacy.Greeting.OurPrisoner.Weak#2";"Освободете ме и ще направя всичко, {plr_kingdom.king}!"
"Diplomacy.Greeting.OurPrisoner.Weak#3";"Пуснете ме, о, мъдри {plr_kingdom.king}, и ще направя каквото кажете!"
"Diplomacy.Greeting.Prisoner.Neutral";"Колко мило от ваша страна да ме посетите в моята скромна {kingdom.king.prison_kingdom:ian} килия, {plr_kingdom.king}. Бих ви предложил питие, но тези вериги малко пречат."
"Diplomacy.Greeting.Prisoner.Neutral#2";"Кажете вашето предложение, но помислете и за посещение при {kingdom.king.prison_kingdom.king}, след като приключим. Имам чувство, че той е забравил за моето освобождаване..."
"Diplomacy.Greeting.Prisoner.Neutral#3";"Най-после, нещо за правене! Тези {kingdom.king.prison_kingdom:ian} пазачи не са никак забавни."
"Diplomacy.Greeting.War.Neutral";"Нашият враг желае да говори? Колко интригуващо."
"Diplomacy.Greeting.War.Neutral#2";"Обикновено не разговаряме с враговете си, но да видим какво имате предвид."
"Diplomacy.Greeting.War.Neutral#3";"По-добре да имате основателна причина да дойдете тук. Каква е тя?"
"Diplomacy.Greeting.War.Neutral#4";"Говорете, {plr_kingdom.king}."
"Diplomacy.Greeting.OurPrisonerWar.Neutral";"Кажете вашите искания и веднага махнете тези проклети вериги от мен!"
"Diplomacy.Greeting.OurPrisonerWar.Neutral#2";"Дошли сте да обсъждате дипломация с човек във вериги? Вашето малодушие не познава граници."
"Diplomacy.Greeting.OurPrisonerWar.Neutral#3";"Виждам какви игри играете. Не си мислете, че тези окови ще ме разколебаят!"
"Diplomacy.Greeting.OurPrisonerWar.Strong";"Може би моето затворничество ви кара да мислите, че имате шанс да победите нашите армии? Помислете два пъти, змийо."
"Diplomacy.Greeting.OurPrisonerWar.Strong#2";"Дошли ли сте да обсъждате капитулацията си? Не се притеснявайте, мога да я организирам дори от тази затворническа килия."
"Diplomacy.Greeting.OurPrisonerWar.Strong#3";"Мислите ли, че ще постигнем споразумение, само защото съм затворен във вашето подземие? Престанете да бъдете такива мечтатели."
"Diplomacy.Greeting.OurPrisonerWar.Weak";"{plr_kingdom.king}! Позволете ми да се върна при моя народ в {kingdom} и ще заповядам на хората си да се оттеглят!"
"Diplomacy.Greeting.OurPrisonerWar.Weak#2";"Поздрави, {plr_kingdom.king}. Бих бил склонен да обсъдя края на нашата война и се надявам, че ще преразгледате моето освобождаване."
"Diplomacy.Greeting.OurPrisonerWar.Weak#3";"{kingdom} плаче за завръщането на своя {kingdom.king.title}. Дайте им го и може да постигнем някакво споразумение!"
"Diplomacy.Greeting.PrisonerWar.Neutral";"Късметлия сте, че лежа окован в {kingdom.king.prison_kingdom}, иначе щяхте да сте мъртъв!"
"Diplomacy.Greeting.PrisonerWar.Neutral#2";"Да, осъзнавам, че съм затворник на {kingdom.king.prison_kingdom:s}. Дошли ли сте да ме унижавате още повече?"
"Diplomacy.Greeting.PrisonerWar.Neutral#3";"Какво правите тук, {plr_kingdom.king}? Не мислете, че тези {kingdom.king.prison_kingdom:ian} вериги ще ви донесат лесен мир."
"Diplomacy.Greeting.Alliance.Neutral";"Ах, {plr_kingdom.king}! Какво ви води тук?"
"Diplomacy.Greeting.Alliance.Neutral#2";"Да? Какво иска нашият добър съюзник?"
"Diplomacy.Greeting.Alliance.Neutral#3";"Добре дошли, приятелю! Какви въпроси желаете да обсъдим?"
"Diplomacy.Comment.Neutral";"Така да бъде."
"Diplomacy.Comment.War.Neutral";"Значи ще бъде война!"
"Diplomacy.Comment.War.Neutral#2";"Ще се срещнем на бойното поле, {plr_kingdom.king}!"
"Diplomacy.Comment.War.Neutral#3";"Горчива грешка! Скоро градовете ви ще изгорят!"
"Diplomacy.Comment.War.Neutral#4";"Вие ни подценявате, {plr_kingdom.king} на {plr_kingdom}, и вашият народ ще плати цената!"
"Diplomacy.Comment.War.Neutral#5";"Война ще бъде! След сто години никой дори няма да си спомня, че {plr_kingdom} някога е съществувало!"
"Diplomacy.Comment.War.Neutral#6";"Можеше да има друго решение на проблемите ни, {plr_kingdom.king}."
"Diplomacy.Comment.War.Neutral#7";"Изглежда, че точно дотук ви води гладът за власт, {plr_kingdom.king}. Кръвта на вашите войници ще бъде по вашите ръце!"
"Diplomacy.Comment.War.Strong";"Ще съжалявате за това!"
"Diplomacy.Comment.War.Strong#2";"Вие сте луд, {plr_kingdom.king}. Вашите армии ще бъдат унищожени!"
